City,Max Temperature,Latitude,Longitude,Humidity,Cloud %,Wind Speed,Country
poum,70.41,-20.2333,164.0167,71,99,9.78,NC
alofi,78.69,-19.0595,-169.9187,61,28,11.5,NU
kapaa,86.32,22.0752,-159.319,72,20,5.01,US
hilo,82.13,19.7297,-155.09,75,40,11.5,US
ushuaia,31.66,-54.8,-68.3,100,90,33.38,AR
castro,53.26,-24.7911,-50.0119,83,6,4.52,BR
ossora,53.74,59.2353,163.0719,80,100,13.4,RU
lebu,47.35,-37.6167,-73.65,74,99,19.55,CL
punta arenas,35.71,-53.15,-70.9167,80,0,25.32,CL
sao joao da barra,67.73,-21.6403,-41.0511,80,77,11.7,BR
chuy,61.29,-33.6971,-53.4616,90,6,6.53,UY
bredasdorp,51.12,-34.5322,20.0403,93,79,4.61,ZA
vallenar,49.21,-28.5708,-70.7581,84,38,4.61,CL
cabo san lucas,89.19,22.8909,-109.9124,65,40,11.5,MX
chokurdakh,66.02,70.6333,147.9167,30,9,10.36,RU
puerto ayora,69.55,-0.7393,-90.3518,89,97,7.0,EC
sao francisco de paula,58.05,-29.4481,-50.5836,83,0,5.5,BR
nishihara,82.06,26.1842,127.7558,97,90,21.85,JP
bukama,69.04,-9.2,25.85,31,68,3.31,CD
arraial do cabo,67.86,-22.9661,-42.0278,77,0,13.8,BR
busselton,59.04,-33.65,115.3333,88,70,7.07,AU
waitati,45.81,-45.75,170.5667,59,100,9.4,NZ
hobart,48.25,-42.8794,147.3294,65,0,3.0,AU
severnyy,66.24,50.677,36.5532,88,0,8.95,RU
port alfred,59.04,-33.5906,26.891,66,79,9.42,ZA
carutapera,75.15,-1.195,-46.02,90,11,3.18,BR
samarai,78.12,-10.6167,150.6667,85,90,15.59,PG
albany,75.07,42.6001,-73.9662,87,100,2.89,US
husavik,51.71,66.0449,-17.3389,77,97,2.66,IS
komsomolskiy,75.92,40.4272,71.7189,41,100,6.91,UZ
trat,81.68,12.5,102.5,86,100,2.73,TH
vaini,75.36,-21.2,-175.2,69,40,5.75,TO
lompoc,81.01,34.6391,-120.4579,80,1,13.8,US
bambous virieux,68.25,-20.3428,57.7575,94,75,9.22,MU
mataura,38.48,-46.1927,168.8643,94,100,2.37,NZ
lavrentiya,48.02,65.5833,-171.0,70,87,20.45,RU
tottori,89.6,35.5,134.2333,79,20,3.44,JP
lasa,62.06,46.6166,10.7002,97,75,2.28,IT
saint leonard,69.4,47.173,-67.9247,98,92,3.58,CA
bluff,38.8,-46.6,168.3333,84,100,7.49,NZ
bousso,72.63,10.4795,16.7117,94,99,7.34,TD
paita,65.62,-5.0892,-81.1144,78,12,18.81,PE
hithadhoo,82.15,-0.6,73.0833,70,100,3.49,MV
srednekolymsk,61.86,67.45,153.6833,48,0,3.04,RU
barcelos,59.85,41.5388,-8.6151,93,4,4.9,PT
east london,58.19,-33.0153,27.9116,61,72,9.93,ZA
kaitangata,44.67,-46.2817,169.8464,54,100,8.03,NZ
olivenza,64.2,38.6832,-7.103,80,0,4.5,ES
eenhana,55.15,-17.4667,16.3333,24,0,6.29,NA
kilinochchi,77.85,9.3961,80.3982,88,93,8.77,LK
bethel,76.08,41.3712,-73.414,76,1,0.0,US
baculin,79.48,7.4525,126.5842,82,100,7.43,PH
hermanus,47.89,-34.4187,19.2345,67,85,4.47,ZA
college,62.55,64.8569,-147.8028,83,75,0.0,US
mar del plata,50.02,-38.0023,-57.5575,71,0,9.22,AR
asau,58.95,46.4333,26.4,83,13,4.0,RO
podor,84.02,16.6527,-14.9587,65,16,16.78,MR
clyde river,39.43,70.4692,-68.5914,100,90,4.61,CA
bossangoa,68.02,6.4926,17.4552,97,100,2.95,CF
rikitea,74.61,-23.1203,-134.9692,77,1,13.69,PF
vasai,80.69,19.47,72.8,81,50,5.44,IN
belyy yar,62.49,53.6039,91.3903,88,0,2.24,RU
brownwood,92.52,31.7093,-98.9912,37,88,20.8,US
avarua,78.85,-21.2078,-159.775,65,14,6.91,CK
butaritari,82.89,3.0707,172.7902,64,24,13.27,KI
katsuura,78.91,35.1333,140.3,95,100,30.06,JP
jining,82.63,35.405,116.5814,75,5,1.68,CN
nanortalik,46.18,60.1432,-45.2371,91,100,15.21,GL
kiruna,45.52,67.8557,20.2251,81,55,3.44,SE
tiksi,50.88,71.6872,128.8694,67,21,4.7,RU
north bend,75.24,43.4065,-124.2243,83,90,11.5,US
sztum,65.34,53.9208,19.0307,75,100,7.76,PL
leh,60.01,34.1667,77.5833,56,16,5.23,IN
mogadishu,75.9,2.0371,45.3438,85,99,17.96,SO
atuona,77.65,-9.8,-139.0333,79,19,13.47,PF
hasaki,79.2,35.7333,140.8333,97,100,28.32,JP
cape town,50.41,-33.9258,18.4232,100,90,3.44,ZA
ahipara,59.27,-35.1667,173.1667,75,93,17.0,NZ
cidreira,60.67,-30.1811,-50.2056,91,0,11.74,BR
manicore,76.95,-5.8092,-61.3003,94,57,0.0,BR
hammerfest,63.05,70.6634,23.6821,51,40,1.14,NO
sorland,59.95,67.667,12.6934,63,87,15.93,NO
marsa matruh,79.0,31.3525,27.2453,89,75,6.91,EG
jamestown,73.04,42.097,-79.2353,81,40,1.01,US
grand bank,62.6,47.0999,-55.765,96,100,11.48,CA
saint george,98.64,37.1041,-113.5841,8,1,1.01,US
shibetsu,63.3,43.659,145.132,100,75,16.11,JP
tura,74.43,25.5198,90.2201,99,100,5.64,IN
nizhniy kuranakh,71.58,58.8353,125.4869,59,11,8.01,RU
vila franca do campo,68.41,37.7167,-25.4333,79,31,5.82,PT
kavieng,83.25,-2.5744,150.7967,75,98,13.13,PG
atar,87.28,20.5169,-13.0499,41,13,12.55,MR
constitucion,49.33,-35.3333,-72.4167,74,100,6.33,CL
carnarvon,69.87,-24.8667,113.6333,83,40,6.91,AU
codrington,53.46,-38.2667,141.9667,71,100,7.45,AU
nikolskoye,65.01,59.7035,30.7861,99,93,4.16,RU
new norfolk,47.91,-42.7826,147.0587,42,71,3.89,AU
provideniya,46.35,64.3833,-173.3,77,100,7.38,RU
upernavik,40.26,72.7868,-56.1549,95,77,9.13,GL
port moresby,81.82,-9.4431,147.1797,74,40,11.5,PG
shush,96.85,32.1942,48.2436,19,0,6.51,IR
faanui,78.31,-16.4833,-151.75,73,81,7.47,PF
verkhoyansk,76.91,67.5447,133.385,28,6,5.39,RU
the valley,82.81,18.217,-63.0578,76,0,16.51,AI
georgetown,84.13,5.4112,100.3354,82,20,1.99,MY
key west,84.2,24.5557,-81.7826,74,1,6.91,US
firminopolis,69.48,-16.5819,-50.305,45,65,6.53,BR
yellowknife,61.32,62.456,-114.3525,51,40,21.85,CA
ucluelet,67.08,48.9329,-125.5528,82,31,15.9,CA
fortuna,88.48,40.5982,-124.1573,61,1,7.0,US
luganville,78.49,-15.5333,167.1667,80,100,12.77,VU
garissa,71.65,-0.4536,39.6401,78,99,14.7,KE
linguere,80.46,15.3953,-15.1193,74,28,10.36,SN
saint-philippe,69.35,-21.3585,55.7679,81,51,12.48,RE
zhigansk,68.18,66.7697,123.3711,39,96,22.68,RU
longyearbyen,43.03,78.2186,15.6401,94,100,5.77,SJ
karratha,75.06,-20.7377,116.8463,33,21,12.17,AU
sao filipe,78.12,14.8961,-24.4956,85,70,8.37,CV
pskov,60.71,57.8136,28.3496,88,20,4.47,RU
dabat,52.38,12.9842,37.765,81,45,0.58,ET
dikson,48.54,73.5069,80.5464,69,7,8.3,RU
oakdale,71.31,44.963,-92.9649,91,90,7.0,US
port lincoln,57.06,-34.7333,135.8667,62,61,11.63,AU
vestmannaeyjar,54.39,63.4427,-20.2734,88,100,6.67,IS
qaanaaq,41.43,77.484,-69.3632,82,98,0.72,GL
praia da vitoria,73.65,38.7333,-27.0667,64,40,8.57,PT
yantal,65.95,56.8471,105.2542,49,7,3.18,RU
jiangyou,74.1,31.7667,104.7167,93,100,3.18,CN
gornopravdinsk,64.08,60.05,69.9,81,83,6.2,RU
sivaki,55.98,52.6333,126.75,98,100,11.12,RU
erdaojiang,78.03,41.7764,126.0319,61,17,3.36,CN
maldonado,65.23,-34.6667,-54.9167,89,6,4.5,UY
